Timestamp,Your Name,Class,Index Number,I am excited about the skills I learnt during CS,I feel confident in my technical skills,I know how to work through problems when I get stumped,Learning about technology is exciting,I wish I had more opportunities to learn technical skill,I would like to own a Microbit set for my own learning,I would consider using Microbit for my future school projects ,What was your favourite part of the course?,What was your least favourite part of the course?,What could be improved?,I am interested to sign up for Computer Elective Programme (Year 2 - Year 4)
3/29/2018 11:28,Hidden,1i,Hidden,5,4,3,4,4,4,Maybe,the last few weeks because we got to use our creativity to combine everything we learnt.,the first 2 or 3 lessons because computer science is completely new to me and it was hard to get my head around some of the concepts.,nothing. the class is very good,Maybe
3/29/2018 11:28,Hidden,1I,Hidden,4,3,3,3,5,2,Maybe,Programming the game at the end of the course,Learning about arrays because it was slightly confusing,Not all the students understood all of the concepts taught. The students could be quizzed to see if they really understood the concept or not.,Maybe
3/29/2018 11:29,Hidden,1I,Hidden,4,3,4,5,4,4,Yes,hands-on tasks,using arrays,nil,No
3/29/2018 11:30,Hidden,1J,Hidden,5,4,3,5,4,5,Yes,Group work/games,When I had no idea what we were supposed to do after the teacher taught us,More free time after doing our work?,Maybe
3/29/2018 11:30,Hidden,1J,Hidden,4,3,2,3,3,5,Maybe,The last few lessons were less stressful because there were more time to do our projects. ,The difficult functions (arrays),"More fun stuff, more games",No
3/29/2018 11:30,Hidden,1I,Hidden,5,4,4,5,4,2,No,Learning how to make games.,Learning how to use arrays.,Teaching a bit using Javascript instead of blocks.,"Yes, But I have Third Lang or other electives"
3/29/2018 11:31,Hidden,1J,Hidden,5,3,4,5,5,5,Yes,Learning and using arrays,Having to move to the front of the classroom to view powerpoint slides each lesson,Allowing students to sit at their computers and try out the things mentioned in the slides,"Yes, But I have Third Lang or other electives"
3/29/2018 11:31,Hidden,1I,Hidden,4,3,3,4,4,3,Maybe,Learning about variables,Trying to do stuff with arrays,NIL,No
3/29/2018 11:31,Hidden,1I,Hidden,4,4,4,4,5,5,Maybe,Programming,Nothing,Nothing,"Yes, But I have Third Lang or other electives"
3/29/2018 11:32,Hidden,1J,Hidden,3,2,4,4,3,3,Maybe,Using the computers to play games on the sly.,None.,Let us programme some actual JavaScript instead of giving us blocks to work with.,"Yes, But I have Third Lang or other electives"
3/29/2018 11:32,Hidden,1I,Hidden,3,3,3,2,2,3,No,"actually using the micro bit
",coding,nil,No
3/29/2018 11:33,Hidden,1J,Hidden,5,4,5,5,5,5,Yes,The challenges,Having to go to the front of the class for the powerpoint slides,More challenges,Maybe
3/29/2018 11:34,Hidden,1I,Hidden,4,4,4,4,4,4,Maybe,creating game codes,Not being able to solve the problems,The efficiency of my code,No
3/29/2018 11:35,Hidden,1J,Hidden,5,4,4,5,4,5,Maybe,the project,learning about the arrays,the length of the course,Maybe
7/10/2018 8:59,Hidden,1B,Hidden,5,5,5,5,5,2,No,Learning about coding,Looking at the for long monitor gives me headaches,using worksheets instead,Maybe
7/10/2018 9:00,Hidden,1A,Hidden,5,4,5,5,5,4,Maybe,Learning to code,NIL,NIL,"Yes, But I have Third Lang or other electives"
7/10/2018 9:00,Hidden,1A,Hidden,5,4,3,5,5,5,Yes,Creating new projects with microbit,It was a bit too complicated at times,NIL,No
7/10/2018 9:00,Hidden,1B,Hidden,5,5,5,5,5,5,Yes,The making game part.,NIL,NIL,Maybe
7/10/2018 9:00,Hidden,1A,Hidden,5,3,4,4,5,4,Yes,My favourite part of the course was when i got to experiment for myself using microbit.org to make my own codes.,I enjoyed everything,nothing,"Yes, But I have Third Lang or other electives"
7/10/2018 9:01,Hidden,1b,Hidden,4,3,2,5,5,4,Maybe,creating games,not able to catch up on what is happening,teacher should check around more to help,Maybe
7/10/2018 9:02,Hidden,1B,Hidden,4,4,4,5,4,4,Yes,The creating of games on microbit.,Not too sure,Have Computer Studies in year 2 as well?,Maybe
7/10/2018 9:02,Hidden,1B,Hidden,5,5,4,5,5,5,Maybe,Playing the games that is coded on the microbit.,coding the code.,-,Maybe
7/10/2018 9:04,Hidden,1A,Hidden,5,5,5,5,5,5,Yes,The Project and the last lesson.,NIL.,NIL.,"Yes, But I have Third Lang or other electives"
7/10/2018 9:04,Hidden,1B,Hidden,3,3,3,3,4,2,Maybe,using computers,-,-,No
7/10/2018 9:06,Hidden,1A,Hidden,4,4,4,4,3,3,Maybe,Seeing my codes work,Doing the projects,Nothing,No
7/10/2018 9:06,Hidden,1A,Hidden,4,4,4,5,3,4,Maybe,The favourite part of the course was the flappy bird. ,NIL,NIL,"Yes, But I have Third Lang or other electives"
7/10/2018 9:13,Hidden,1A,Hidden,5,4,4,5,4,3,Maybe,Using the microbit simulator,We had to use microbit instead of other platforms,We could use other platfroms to create games,"Yes, But I have Third Lang or other electives"
7/12/2018 12:26,Hidden,1I,Hidden,3,3,4,5,5,1,No,The part before we learnt about Microbit,Using Microbit,Do not use Microbit. It is boring and limiting in display power. Scratch 2.0 was much more fun.,"Yes, But I have Third Lang or other electives"
7/12/2018 12:27,Hidden,1j,Hidden,4,2,3,5,4,3,Maybe,The final project,when we did the flappy bird game and I didnt understand anything,I think we can start with easier projects so that we have more time to learn the basics,Maybe
7/12/2018 12:27,Hidden,1J,Hidden,5,3,4,5,3,2,No,Coding Project!,Learning about game components on Makecode.,There could be more interesting stuff like more videos or activities.,Maybe
7/12/2018 12:27,Hidden,1I,Hidden,3,1,1,5,4,5,Yes,Using an actual Microbit,Using the simulator,Give us more opportunities to use the actual Microbit,No
7/12/2018 12:27,Hidden,1J,Hidden,5,5,5,5,5,5,Yes,learning to code,nil,nil,Maybe
7/12/2018 12:28,Hidden,1J,Hidden,4,2,3,5,5,2,No,Learning how to code Flappy Bird.,When I don't understand what the teacher is saying.,More CS lessons.,"Yes, But I have Third Lang or other electives"
7/12/2018 12:28,Hidden,1J,Hidden,5,4,4,5,5,5,Yes,Creating games,Arrays,NIL,Maybe
7/12/2018 12:29,Hidden,1I,Hidden,4,1,3,5,4,3,Yes,Being able to think of new solutions to the same problem,Individual Project having 100 points,Faster Pace,"Yes, But I have Third Lang or other electives"
7/12/2018 12:30,Hidden,1J,Hidden,4,4,4,4,4,4,Yes,idk,idk,The time was too short,"Yes, But I have Third Lang or other electives"
7/12/2018 12:31,Hidden,1J,Hidden,5,3,2,5,4,4,No,Learning about variables,Trying to find the problems in my code,Using a slightly more advanced coding system like Scratch,Maybe
7/12/2018 12:31,Hidden,1I,Hidden,5,4,4,5,4,5,Maybe,Individual project,The first lesson ,Moving at a faster pace,No
7/12/2018 12:32,Hidden,1J,Hidden,4,4,4,4,4,4,No,Coding complicated games.,When I could not understand some parts of the explanation sometimes.,Teacher can focus more on individuals and adjust lessons to different absorption levels.,Maybe
7/12/2018 12:33,Hidden,1I,Hidden,4,4,4,4,4,3,Maybe,I like the lesson when we get to use the microbit.,N.A.,N.A.,No
7/12/2018 12:33,Hidden,1I,Hidden,5,5,5,5,5,4,Yes,"My favourite part of the course was solving the challenge homework questions (e.g. Card games and AI) which really stretched my coding skills further and put it into perspective for me as a fun and useful part of our daily lives. Similarly, the process of coding my own games and programs allowed me to learn about troubleshooting.",NIL. I enjoyed the entire course :).,Perhaps the duration of the course could be increased so more advanced topics such as USB connections and Radio modules. The course could also have more lessons on using the Micro:Bit extension set. ,"Yes, But I have Third Lang or other electives"
7/12/2018 12:34,Hidden,1J,Hidden,5,5,5,5,5,5,Yes,Learning how to use Microbit together with programs.,None.,"More advanced function, coding etc.","Yes, But I have Third Lang or other electives"
7/12/2018 12:34,Hidden,1J,Hidden,5,4,4,5,5,5,Yes,Coding games and removing bugs in the coding,"Using the  GPIO PINs for coding as you have to download the codes onto the hardware  to test out, wasting a lot of time",We can have interaction with  other micro-computers other than microbits,"Yes, But I have Third Lang or other electives"
7/12/2018 12:35,Hidden,1i,Hidden,1,1,1,1,1,1,No,watching the video,doing microbit,idk,No
7/12/2018 12:35,Hidden,1I,Hidden,4,3,4,3,4,3,Maybe,learning how to code games,waiting,I dont know,Maybe
7/12/2018 12:36,Hidden,1I,Hidden,4,2,4,3,3,3,Yes,Own project,Game functions teachings,N.A.,Maybe
7/12/2018 12:37,Hidden,1J,Hidden,5,4,4,5,5,5,Yes,The blackjack and using knowledge to create your own games!,Arrays( Its hard......),NA,Maybe
7/12/2018 12:39,Hidden,1J,Hidden,3,3,3,5,5,5,Maybe,Learning how to code games.,NIL,NIL,"Yes, But I have Third Lang or other electives"
7/12/2018 12:43,Hidden,1I,Hidden,5,3,3,5,3,5,Yes,Creating new programmes,NIL,More lessons involving the real micro.bit,Maybe
7/23/2018 10:03,Hidden,1H,Hidden,5,5,5,5,5,5,Yes,The project - coding was very enjoyable,the homework :),nothing much I think it was well thought out,Yes
7/23/2018 10:04,Hidden,1G,Hidden,4,3,3,4,4,3,Maybe,The hands on activities,Nil,Nil,Maybe
7/23/2018 10:04,Hidden,1H,Hidden,3,2,2,3,4,2,No,Hardware,The project,Nil,No
7/23/2018 10:05,Hidden,1G,Hidden,4,2,3,3,3,3,Maybe,Programming the last assignment,Not understanding the blocks,Nothing much ,No
7/23/2018 10:05,Hidden,1H,Hidden,4,2,3,5,5,3,Maybe,The lessons,The homework,Your mum,Maybe
7/23/2018 10:05,Hidden,1H,Hidden,4,3,3,4,3,3,Maybe,Hardware,Loops, Lessons should allow people not good in coding to understand.,No
7/23/2018 10:06,Hidden,1G,Hidden,4,4,3,5,4,3,Maybe,Programming games and using the tinker kits,"Learning ""arrays"" ",The lesson could be shorter,"Yes, But I have Third Lang or other electives"
7/23/2018 10:06,Hidden,1H,Hidden,4,4,3,4,4,5,Yes,"Learning about several coding parts in Microbit (arrays, loops), learning about things like algorithms",The frustration when my project doesn't work,More help for the project,"Yes, But I have Third Lang or other electives"
7/23/2018 10:06,Hidden,1G,Hidden,5,5,3,5,5,3,Maybe,When I could present solutions which were practical and understandable ,None ,"The course could be longer so students can immerse themselves better into the microbit concept, ",Yes
7/23/2018 10:06,Hidden,1H,Hidden,5,5,5,5,5,3,No,solving the problems and doing the assignments at home. ,Sitting in class doing nothing really.,use scratch lol. ,"Yes, But I have Third Lang or other electives"
7/23/2018 10:06,Hidden,1H,Hidden,4,2,3,5,4,3,Maybe,The lessons,The homework,More fun activities,Maybe
7/23/2018 10:06,Hidden,1G,Hidden,4,3,2,5,4,2,No,Learning how to make games.,Arrays.,We could learn java script instead of using blocks.,Maybe
7/23/2018 10:06,Hidden,1G,Hidden,4,3,4,4,4,2,Maybe,Working with the computers to programme games,NIL,NIL,Maybe
7/23/2018 10:06,Hidden,1G,Hidden,5,4,3,5,5,5,Maybe,It was the project part because you can create any game you want.,Learning about Arrays.,Longer times for CS.,"Yes, But I have Third Lang or other electives"
7/23/2018 10:07,Hidden,1G,Hidden,4,3,3,4,4,5,Maybe,Being able to see my end project,Memorising the difficult parts ,My skills,"Yes, But I have Third Lang or other electives"
7/23/2018 10:08,Hidden,1H,Hidden,4,4,3,4,4,5,Yes,Learning how to make games,the homework was really hard,The homework could be made easier and more doable.,Maybe
7/23/2018 11:39,Hidden,1c,Hidden,5,3,3,5,5,5,Maybe,Making my own game,Nil,Nil,"Yes, But I have Third Lang or other electives"
7/23/2018 11:40,Hidden,1C,Hidden,2,1,2,3,2,1,No,The video,doing microbit,do something else related to CS,No
7/23/2018 11:41,Hidden,1C,Hidden,5,3,2,5,4,3,Maybe,Logic,Arrays,Nil,Maybe
7/23/2018 11:41,Hidden,1D,Hidden,4,4,4,5,4,3,Maybe,Exploring the set,The project,n.a.,Maybe
7/23/2018 11:41,Hidden,1D,Hidden,4,3,4,4,4,3,Maybe,Making my own game,Learning about arrays,Make cs longer,Maybe
7/23/2018 11:41,Hidden,1D,Hidden,5,4,5,5,2,4,Yes,Videos,nothing,More videos,"Yes, But I have Third Lang or other electives"
7/23/2018 11:41,Hidden,1C,Hidden,5,5,5,5,5,5,Yes,"Final project, multiplayer game with Putra",Dismissal :(,Amount of time with the physical micro:bit,Yes
7/23/2018 11:42,Hidden,1C,Hidden,5,5,5,5,5,5,Yes,Playing with Microbit set,microbit is quite limited,Do moway & scratch,"Yes, But I have Third Lang or other electives"
7/23/2018 11:42,Hidden,1D,Hidden,5,5,5,5,5,5,Yes,Everything,Nothing,Giving us our own Micro:Bit,Yes
7/23/2018 11:42,Hidden,1D,Hidden,4,2,3,4,3,4,Maybe,"Homework assignments where we are given a problem to be solved with the use of a microbit, which we must solve.",Nothing,Give us our own micorbit kits!!!! ;),Maybe
7/23/2018 11:42,Hidden,1c,Hidden,4,1,2,4,5,4,Maybe,we tried out many different use of microbits to solve out daily problems,nil,we can have more lessons,Maybe
7/23/2018 11:42,Hidden,1C,Hidden,4,4,4,4,4,4,Maybe,programming games,The project at the end, NIL,Maybe
7/23/2018 11:43,Hidden,1C,Hidden,3,2,2,4,3,2,Maybe,learning to code games,na, na,No
7/23/2018 11:43,Hidden,1D,Hidden,4,3,3,5,5,5,Yes,Learning the different uses of the codes,When I couldn't understand how the code works and how to do the harder homework,Having more time to learn the codes in greater detail and maybe learn more about Javascript too.,"Yes, But I have Third Lang or other electives"
7/23/2018 11:44,Hidden,1C,Hidden,5,5,5,5,5,5,Maybe,Doing multiplayer projects w/ Yu Chen,there wasnt enough time for CS,Add more time for CS! :),"Yes, But I have Third Lang or other electives"
7/23/2018 11:44,Hidden,1D,Hidden,5,4,4,5,5,4,Maybe,Learning about the use for different programming functions,Homework,The duration of the lesson,Maybe
7/23/2018 11:44,Hidden,1C,Hidden,4,2,2,5,5,5,Yes,"Learning about how to program using Javascript, although I did not learn much.",Not learning much,We could be taught more programming and more advanced programming,Yes
7/23/2018 11:44,Hidden,1c,Hidden,5,1,1,5,5,5,Yes,The video on algorhithms,the part when i learnt about arrays.,Everything.,Yes
7/23/2018 15:12,Hidden,1F,Hidden,5,4,4,5,4,5,Maybe,Using the microbit,Nil,Nil,"Yes, But I have Third Lang or other electives"
7/23/2018 15:12,Hidden,1F,Hidden,4,3,3,5,4,5,Yes,Using microbit.,Nothing,Nothing,Yes
7/23/2018 15:12,Hidden,1E,Hidden,4,3,4,5,4,5,Maybe,Learning to code,Nothing,NOTHING :),Maybe
7/23/2018 15:12,Hidden,1F,Hidden,5,4,4,5,4,5,Maybe,Using the microbit,Nil,Nil,"Yes, But I have Third Lang or other electives"
7/23/2018 15:12,Hidden,1F,Hidden,5,3,4,5,5,4,Yes,Coding programmes and games we want,The part where we had to do work,More lessons,Maybe
7/23/2018 15:13,Hidden,1E,Hidden,3,2,2,4,4,3,Maybe,Microbit,Nil,"It's good enough
",Maybe
7/23/2018 15:13,Hidden,1E,Hidden,4,4,3,4,1,5,Maybe,Using microbit,None,Nothing,No
7/23/2018 15:13,Hidden,1F,Hidden,4,3,4,5,5,3,Maybe,Using the actual microbit ,Learning The codes ,More time on practical applications of coding,No
7/23/2018 15:13,Hidden,1E,Hidden,4,3,3,5,4,4,Maybe,The bonus marks,Not knowing how to solve a pooblrm,Having more time to do the project,Maybe
7/23/2018 15:13,Hidden,Y1E,Hidden,4,4,4,5,3,3,Yes,The making of the project ,Nil ,More notes can be created to help students to better understand the course ,Maybe
7/23/2018 15:13,Hidden,1F,Hidden,4,3,4,5,5,5,Maybe,Programming!,The complicated parts,NIL,No
7/23/2018 15:13,Hidden,1E,Hidden,4,4,4,5,4,5,Yes,Using the physical Microbit,Learning difficult codes,Using more features,Maybe
7/23/2018 15:14,Hidden,1F,Hidden,4,4,3,4,3,3,Maybe,I like the teacher,The problems of the codes i don't know how to solve,They could teach methods to solve problems,No
7/23/2018 15:14,Hidden,1f,Hidden,5,4,4,5,5,5,Maybe,Coding,Nil,Nil,"Yes, But I have Third Lang or other electives"
7/23/2018 15:14,Hidden,1F,Hidden,4,3,4,4,3,3,Maybe,Coding games,Reflections.,Nothing,Maybe
7/23/2018 15:16,Hidden,1E,Hidden,4,2,3,4,4,5,Yes,Microbit,None,None,No
